cone1,cone2,cone3,center1x,center1y,center2x,center2y,center3x,center3y,slice_index
,,,,,,,,,1
,290.28741455078125,,,,1662.2503662109375,,,,5
152.65280151367188,,,,1608.81787109375,,,,,9
,,,,,,295.6010131835937,,,13
,295.7102355957031,,,,1673.7142333984375,,,,17
277.23760986328125,319.3489074707031,,,,1658.572021484375,,,,21
,,290.0652770996094,,,1657.1849365234375,,145.1851806640625,296.95703125,26
,318.2745361328125,268.76071166992193,,,1652.9793701171875,,131.66053771972656,303.5433349609375,30
,,270.57040405273443,,,1655.8380126953125,,142.0415496826172,290.0834045410156,34
,,280.3402709960937,,,1660.1136474609375,,133.08061218261722,295.4272766113281,38
,313.5791320800781,,,,1654.2965087890625,,,,42
,,,,,1652.490478515625,,,,47
,,294.1698303222656,,,1660.79345703125,,131.01190185546878,289.45660400390625,51
,,269.15005493164057,,,,,144.3416748046875,294.28912353515625,55
,309.8798217773437,,,,1650.4544677734375,,,,59
,,,,,,,,,63
,,290.21099853515625,,,1654.14306640625,,132.94248962402344,297.7604675292969,68
,,322.6925964355469,,,1662.364013671875,307.5437316894531,126.86981964111328,295.6127319335937,72
,,321.1656494140625,,,1661.458984375,,115.44447326660156,289.9453430175781,76
,,325.9571838378906,,,,,,293.81414794921875,80
,,316.3100891113281,,,1662.1456298828125,,134.75038146972656,292.6241455078125,84
,,297.5907897949219,,,1660.771728515625,,134.61274719238278,297.5768127441406,88
,,287.3487243652344,,,1652.473876953125,,140.73086547851562,283.82684326171875,93
,,330.4925231933594,,,1662.482666015625,,130.53245544433594,294.1923828125,97
,,314.9322204589844,,,,,,283.4275207519531,101
229.6123046875,297.3805236816406,276.42526245117193,,1600.9205322265625,1657.5528564453125,,131.28890991210938,288.74951171875,105
,,323.4580383300781,,,,,134.37666320800778,292.3092041015625,109
291.0680847167969,,332.0326538085937,869.78173828125,1597.3851318359375,1660.2391357421875,,110.38459777832033,285.37579345703125,114
302.6058654785156,,310.4564514160156,873.7978515625,1610.29638671875,1660.245361328125,,134.74490356445312,290.9031982421875,118
,,335.7948303222656,,,,,120.98426055908205,289.4292907714844,122
,,333.6416931152344,,,,,115.2020034790039,289.7883605957031,126
,,332.9140319824219,,,,,124.02542877197266,289.581787109375,130
304.00445556640625,,341.3778991699219,872.0909423828125,1601.983642578125,1659.457275390625,,121.23363494873048,290.2455749511719,135
285.85723876953125,,334.989013671875,873.7372436523438,1595.6826171875,1659.42236328125,,120.91963958740234,290.8065185546875,139
,,331.4237670898437,874.1427612304688,1625.4930419921875,1659.711669921875,,125.13471221923828,289.5199890136719,143
285.7311096191406,311.4125366210937,337.8515930175781,869.1136474609375,1596.9276123046875,1656.400390625,306.984375,118.5649185180664,286.7642822265625,147
,,330.9220886230469,,,1661.1697998046875,,116.95892333984376,284.7348937988281,151
,,317.4333190917969,,,,,123.43609619140624,279.441650390625,156
300.6746520996094,,337.5194091796875,868.7425537109375,1601.54150390625,1657.7828369140625,,110.15692138671876,283.5733947753906,160
292.91485595703125,,335.3705139160156,872.1329956054688,1600.25,1659.297607421875,,116.1417236328125,287.99176025390625,164
300.0863342285156,,329.522705078125,875.6807861328125,1604.769775390625,1660.6654052734375,,121.32498168945312,283.4643859863281,168
,,331.2799377441406,,,,,121.1998291015625,287.016845703125,172
307.03271484375,,334.6472473144531,871.3334350585938,1606.227294921875,1660.88330078125,,117.31982421875,287.53387451171875,176
,,327.5635070800781,,,,,123.77567291259766,281.08840942382807,181
280.322265625,,337.8711853027344,872.0885009765625,1594.03466796875,1661.9403076171875,,113.74940490722656,287.6454162597656,185
,,326.99566650390625,871.1195678710938,1618.3525390625,1661.0484619140625,,120.55593872070312,286.6842041015625,189
305.6567077636719,,324.66339111328125,873.1112670898438,1607.220458984375,1659.9276123046875,,125.82239532470705,288.5098571777344,193
,,332.46356201171875,,,,,121.90411376953124,288.4939270019531,197
,,330.15203857421875,874.1580810546875,1631.3424072265625,1656.594970703125,,119.55006408691406,286.6366577148437,202
301.1136474609375,321.64752197265625,325.65966796875,871.2904052734375,1609.6640625,1659.8739013671875,,120.65943908691406,287.3502197265625,206
274.3746337890625,,326.5311889648437,871.6361083984375,1591.7784423828125,1661.2723388671875,,116.85122680664062,285.9118957519531,210
,,317.2151794433594,,,,,126.0281219482422,289.04815673828125,214
,,331.6072082519531,,,,,122.50572204589844,289.2147827148437,218
,,336.2793273925781,,,,,114.96817016601562,287.27105712890625,223
,,307.8544921875,,,,,133.37663269042972,286.3197631835937,227
,,330.787841796875,,,,,123.16970825195312,286.8057556152344,231
,,336.5210876464844,,,,,115.49860382080078,288.0109558105469,235
,,321.8094177246094,,,,,124.18959045410156,288.61846923828125,239
,,332.4539489746094,,,,,121.81210327148438,287.7291564941406,244
,,327.4883117675781,,,,,120.81268310546876,287.41357421875,248
,,314.3441772460937,,,,,128.11618041992188,286.98419189453125,252
,,322.9818115234375,,,,,126.7780532836914,287.2171630859375,256
,,332.5906066894531,,,,,120.2984619140625,287.3791198730469,260
,,316.24658203125,,,,,131.69476318359378,289.7615661621094,264
,,331.4131774902344,,,,,122.83767700195312,287.6991882324219,269
,,320.978515625,,,,,125.48690795898438,287.5411376953125,273
,,309.941162109375,,,,,131.50189208984378,287.5709533691406,277
,,328.5327453613281,,,,,124.75460052490234,289.03729248046875,281
,,319.7415771484375,,,,,124.00074005126952,287.84136962890625,285
,,312.033447265625,,,,,131.14889526367188,291.3548583984375,290
,,313.4897766113281,,,,,129.94000244140622,289.0688171386719,294
,,319.474365234375,,,,,125.38189697265624,288.5122375488281,298
,,313.1700744628906,,,,,126.54204559326172,286.0005187988281,302
,,316.22174072265625,,,,,128.10305786132812,288.80419921875,306
,,323.8827819824219,,,,,121.9104232788086,289.3505859375,311
,,318.09033203125,,,,,125.76251220703124,288.3047790527344,315
,,326.4413452148437,,,,,123.18943786621094,286.5840759277344,319
,,325.5394592285156,,,,,121.59098815917967,287.61328125,323
,,328.7647705078125,,,,,121.73258972167967,286.6712646484375,327
,,330.3586120605469,,,,,121.5090560913086,287.9649658203125,332
,,327.50390625,,,,,123.5362548828125,288.4757080078125,336
,,317.0624694824219,,,,,128.74212646484378,286.4477233886719,340
