Height,height_Predicted
0.004,2.9508587916646327
0.008,2.9499162365638996
0.012,2.9489736814631664
0.016,2.9480311263624333
0.02,2.9470885712617005
0.024,2.9461460161609674
0.028,2.9452034610602342
0.032,2.944260905959501
0.036000000000000004,2.943318350858768
0.04000000000000001,2.9423757957580348
0.044,2.9414332406573016
0.048,2.9404906855565685
0.052000000000000005,2.9395481304558353
0.05600000000000001,2.9386055753551026
0.06,2.9376630202543694
0.064,2.9367204651536363
0.068,2.935777910052903
0.07200000000000001,2.93483535495217
0.07600000000000001,2.933892799851437
0.08,2.9329502447507036
0.084,2.9320076896499705
0.08800000000000001,2.9310651345492373
0.092,2.9301225794485046
0.096,2.9291800243477715
0.1,2.9282374692470383
0.10400000000000001,2.927294914146305
0.10800000000000001,2.926352359045572
0.112,2.925409803944839
0.116,2.9244672488441057
0.12000000000000001,2.9235246937433725
0.124,2.9225821386426394
0.128,2.9216395835419067
0.132,2.9206970284411735
0.136,2.9197544733404404
0.14,2.918811918239707
0.14400000000000002,2.917869363138974
0.14800000000000002,2.916926808038241
0.152,2.9159842529375077
0.156,2.9150416978367746
0.16,2.9140991427360414
0.164,2.9131565876353083
0.168,2.9122140325345756
0.17200000000000001,2.9112714774338424
0.17600000000000002,2.9103289223331092
0.18,2.909386367232376
0.184,2.908443812131643
0.188,2.90750125703091
0.192,2.9065587019301766
0.196,2.9056161468294435
0.2,2.9046735917287103
0.20400000000000001,2.9037310366279776
0.20800000000000002,2.9027884815272444
0.21200000000000002,2.9018459264265113
0.216,2.900903371325778
0.22,2.899960816225045
0.224,2.899018261124312
0.228,2.8980757060235787
0.232,2.8971331509228455
0.23600000000000002,2.8961905958221124
0.24000000000000002,2.8952480407213796
0.244,2.8943054856206465
0.248,2.8933629305199133
0.252,2.89242037541918
0.256,2.891477820318447
0.26,2.890535265217714
0.264,2.8895927101169807
0.268,2.8886501550162476
0.272,2.8877075999155144
0.276,2.8867650448147817
0.28,2.8858224897140485
0.28400000000000003,2.8848799346133154
0.28800000000000003,2.883937379512582
0.29200000000000004,2.882994824411849
0.296,2.882052269311116
0.3,2.8811097142103828
0.304,2.8801671591096496
0.308,2.8792246040089164
0.312,2.8782820489081837
0.316,2.8773394938074506
0.32,2.8763969387067174
0.324,2.8754543836059843
0.328,2.874511828505251
0.332,2.873569273404518
0.336,2.872626718303785
0.34,2.8716841632030516
0.34400000000000003,2.8707416081023185
0.34800000000000003,2.8697990530015858
0.35200000000000004,2.8688564979008526
0.356,2.8679139428001195
0.36,2.8669713876993863
0.364,2.866028832598653
0.368,2.86508627749792
0.372,2.864143722397187
0.376,2.8632011672964537
0.38,2.8622586121957205
0.384,2.861316057094988
0.388,2.8603735019942547
0.392,2.8594309468935215
0.396,2.8584883917927884
0.4,2.857545836692055
0.404,2.856603281591322
0.40800000000000003,2.855660726490589
0.41200000000000003,2.8547181713898557
0.41600000000000004,2.8537756162891226
0.42000000000000004,2.85283306118839
0.424,2.8518905060876567
0.428,2.8509479509869236
0.432,2.8500053958861904
0.436,2.8490628407854572
0.44,2.848120285684724
0.444,2.847177730583991
0.448,2.8462351754832578
0.452,2.8452926203825246
0.456,2.844350065281792
0.46,2.8434075101810588
0.464,2.8424649550803256
0.468,2.8415223999795924
0.47200000000000003,2.8405798448788593
0.47600000000000003,2.839637289778126
0.48000000000000004,2.838694734677393
0.484,2.83775217957666
0.488,2.8368096244759267
0.492,2.835867069375194
0.496,2.834924514274461
0.5,2.8339819591737276
0.504,2.8330394040729945
0.508,2.8320968489722613
0.512,2.831154293871528
0.516,2.830211738770795
0.52,2.829269183670062
0.524,2.8283266285693287
0.528,2.827384073468596
0.532,2.826441518367863
0.536,2.8254989632671297
0.54,2.8245564081663965
0.544,2.8236138530656634
0.548,2.82267129796493
0.552,2.821728742864197
0.556,2.820786187763464
0.56,2.8198436326627307
0.5640000000000001,2.818901077561998
0.5680000000000001,2.817958522461265
0.5720000000000001,2.8170159673605317
0.5760000000000001,2.8160734122597986
0.5800000000000001,2.8151308571590654
0.584,2.8141883020583323
0.588,2.813245746957599
0.592,2.812303191856866
0.596,2.811360636756133
0.6,2.8104180816554
0.604,2.809475526554667
0.608,2.8085329714539338
0.612,2.8075904163532006
0.616,2.8066478612524675
0.62,2.8057053061517343
0.624,2.804762751051001
0.628,2.803820195950268
0.632,2.802877640849535
0.636,2.801935085748802
0.64,2.800992530648069
0.644,2.800049975547336
0.648,2.7991074204466027
0.652,2.7981648653458695
0.656,2.7972223102451363
0.66,2.796279755144403
0.664,2.79533720004367
0.668,2.794394644942937
0.672,2.7934520898422037
0.676,2.792509534741471
0.68,2.791566979640738
0.684,2.7906244245400047
0.6880000000000001,2.7896818694392715
0.6920000000000001,2.7887393143385384
0.6960000000000001,2.7877967592378052
0.7000000000000001,2.786854204137072
0.7040000000000001,2.785911649036339
0.708,2.784969093935606
0.712,2.784026538834873
0.716,2.78308398373414
0.72,2.7821414286334067
0.724,2.7811988735326736
0.728,2.7802563184319404
0.732,2.7793137633312073
0.736,2.778371208230474
0.74,2.777428653129741
0.744,2.776486098029008
0.748,2.775543542928275
0.752,2.774600987827542
0.756,2.773658432726809
0.76,2.7727158776260756
0.764,2.7717733225253425
0.768,2.7708307674246093
0.772,2.769888212323876
0.776,2.768945657223143
0.78,2.76800310212241
0.784,2.767060547021677
0.788,2.766117991920944
0.792,2.765175436820211
0.796,2.7642328817194777
0.8,2.7632903266187445
0.804,2.7623477715180114
0.808,2.761405216417278
0.812,2.760462661316545
0.8160000000000001,2.759520106215812
