Cone,Index,Height,width_Predicted
cone_0,0,0.004,2.879770390959339
cone_0,1,0.008,2.878823086524097
cone_0,2,0.012,2.877875782088855
cone_0,3,0.016,2.876928477653613
cone_0,4,0.02,2.8759811732183715
cone_0,5,0.024,2.8750338687831296
cone_0,6,0.028,2.8740865643478877
cone_0,7,0.032,2.8731392599126457
cone_0,8,0.036000000000000004,2.872191955477404
cone_0,9,0.04000000000000001,2.871244651042162
cone_0,10,0.044,2.87029734660692
cone_0,11,0.048,2.869350042171678
cone_0,12,0.052000000000000005,2.8684027377364365
cone_0,13,0.05600000000000001,2.8674554333011946
cone_0,14,0.06,2.8665081288659526
cone_0,15,0.064,2.8655608244307107
cone_0,16,0.068,2.8646135199954688
cone_0,17,0.07200000000000001,2.863666215560227
cone_0,18,0.07600000000000001,2.862718911124985
cone_0,19,0.08,2.861771606689743
cone_0,20,0.084,2.860824302254501
cone_0,21,0.08800000000000001,2.8598769978192595
cone_0,22,0.092,2.8589296933840176
cone_0,23,0.096,2.8579823889487757
cone_0,24,0.1,2.8570350845135337
cone_0,25,0.10400000000000001,2.856087780078292
cone_0,26,0.10800000000000001,2.85514047564305
cone_0,27,0.112,2.854193171207808
cone_0,28,0.116,2.853245866772566
cone_0,29,0.12000000000000001,2.852298562337324
cone_0,30,0.124,2.8513512579020825
cone_0,31,0.128,2.8504039534668406
cone_0,32,0.132,2.8494566490315987
cone_0,33,0.136,2.8485093445963567
cone_0,34,0.14,2.847562040161115
cone_0,35,0.14400000000000002,2.846614735725873
cone_0,36,0.14800000000000002,2.845667431290631
cone_0,37,0.152,2.844720126855389
cone_0,38,0.156,2.8437728224201475
cone_0,39,0.16,2.8428255179849056
cone_0,40,0.164,2.8418782135496636
cone_0,41,0.168,2.8409309091144217
cone_0,42,0.17200000000000001,2.8399836046791798
cone_0,43,0.17600000000000002,2.839036300243938
cone_0,44,0.18,2.838088995808696
cone_0,45,0.184,2.837141691373454
cone_0,46,0.188,2.836194386938212
cone_0,47,0.192,2.8352470825029705
cone_0,48,0.196,2.8342997780677286
cone_0,49,0.2,2.8333524736324867
cone_0,50,0.20400000000000001,2.8324051691972447
cone_0,51,0.20800000000000002,2.831457864762003
cone_0,52,0.21200000000000002,2.830510560326761
cone_0,53,0.216,2.829563255891519
cone_0,54,0.22,2.828615951456277
cone_0,55,0.224,2.827668647021035
cone_0,56,0.228,2.8267213425857936
cone_0,57,0.232,2.8257740381505516
cone_0,58,0.23600000000000002,2.8248267337153097
cone_0,59,0.24000000000000002,2.8238794292800677
cone_0,60,0.244,2.822932124844826
cone_0,61,0.248,2.821984820409584
cone_0,62,0.252,2.821037515974342
cone_0,63,0.256,2.8200902115391
cone_0,64,0.26,2.8191429071038585
cone_0,65,0.264,2.8181956026686166
cone_0,66,0.268,2.8172482982333746
cone_0,67,0.272,2.8163009937981327
cone_0,68,0.276,2.8153536893628908
cone_0,69,0.28,2.814406384927649
cone_0,70,0.28400000000000003,2.813459080492407
cone_0,71,0.28800000000000003,2.812511776057165
cone_0,72,0.29200000000000004,2.811564471621923
cone_0,73,0.296,2.8106171671866815
cone_0,74,0.3,2.8096698627514396
cone_0,75,0.304,2.8087225583161977
cone_0,76,0.308,2.8077752538809557
cone_0,77,0.312,2.806827949445714
cone_0,78,0.316,2.805880645010472
cone_0,79,0.32,2.80493334057523
cone_0,80,0.324,2.803986036139988
cone_0,81,0.328,2.8030387317047465
cone_0,82,0.332,2.8020914272695046
cone_0,83,0.336,2.8011441228342626
cone_0,84,0.34,2.8001968183990207
cone_0,85,0.34400000000000003,2.7992495139637787
cone_0,86,0.34800000000000003,2.798302209528537
cone_0,87,0.35200000000000004,2.797354905093295
cone_0,88,0.356,2.796407600658053
cone_0,89,0.36,2.795460296222811
cone_0,90,0.364,2.7945129917875695
cone_0,91,0.368,2.7935656873523276
cone_0,92,0.372,2.7926183829170856
cone_0,93,0.376,2.7916710784818437
cone_0,94,0.38,2.7907237740466018
cone_0,95,0.384,2.78977646961136
cone_0,96,0.388,2.788829165176118
cone_0,97,0.392,2.787881860740876
cone_0,98,0.396,2.786934556305634
cone_0,99,0.4,2.7859872518703925
cone_0,100,0.404,2.7850399474351506
cone_0,101,0.40800000000000003,2.7840926429999087
cone_0,102,0.41200000000000003,2.7831453385646667
cone_0,103,0.41600000000000004,2.782198034129425
cone_0,104,0.42000000000000004,2.781250729694183
cone_0,105,0.424,2.780303425258941
cone_0,106,0.428,2.779356120823699
cone_0,107,0.432,2.7784088163884575
