Cone,Index,Height,height_Predicted
cone_0,0,0.004,2.8685761598020316
cone_0,1,0.008,2.8676301943172007
cone_0,2,0.012,2.8666842288323697
cone_0,3,0.016,2.865738263347539
cone_0,4,0.02,2.864792297862708
cone_0,5,0.024,2.863846332377877
cone_0,6,0.028,2.8629003668930455
cone_0,7,0.032,2.8619544014082146
cone_0,8,0.036000000000000004,2.8610084359233836
cone_0,9,0.04000000000000001,2.8600624704385527
cone_0,10,0.044,2.8591165049537217
cone_0,11,0.048,2.8581705394688908
cone_0,12,0.052000000000000005,2.85722457398406
cone_0,13,0.05600000000000001,2.856278608499229
cone_0,14,0.06,2.855332643014398
cone_0,15,0.064,2.854386677529567
cone_0,16,0.068,2.853440712044736
cone_0,17,0.07200000000000001,2.852494746559905
cone_0,18,0.07600000000000001,2.851548781075074
cone_0,19,0.08,2.8506028155902428
cone_0,20,0.084,2.849656850105412
cone_0,21,0.08800000000000001,2.848710884620581
cone_0,22,0.092,2.84776491913575
cone_0,23,0.096,2.846818953650919
cone_0,24,0.1,2.845872988166088
cone_0,25,0.10400000000000001,2.844927022681257
cone_0,26,0.10800000000000001,2.843981057196426
cone_0,27,0.112,2.843035091711595
cone_0,28,0.116,2.8420891262267642
cone_0,29,0.12000000000000001,2.8411431607419333
cone_0,30,0.124,2.8401971952571023
cone_0,31,0.128,2.8392512297722714
cone_0,32,0.132,2.83830526428744
cone_0,33,0.136,2.837359298802609
cone_0,34,0.14,2.836413333317778
cone_0,35,0.14400000000000002,2.835467367832947
cone_0,36,0.14800000000000002,2.8345214023481162
cone_0,37,0.152,2.8335754368632853
cone_0,38,0.156,2.8326294713784543
cone_0,39,0.16,2.8316835058936234
cone_0,40,0.164,2.8307375404087924
cone_0,41,0.168,2.8297915749239615
cone_0,42,0.17200000000000001,2.8288456094391305
cone_0,43,0.17600000000000002,2.8278996439542996
cone_0,44,0.18,2.8269536784694687
cone_0,45,0.184,2.8260077129846373
cone_0,46,0.188,2.8250617474998063
cone_0,47,0.192,2.8241157820149754
cone_0,48,0.196,2.8231698165301444
cone_0,49,0.2,2.8222238510453135
cone_0,50,0.20400000000000001,2.8212778855604825
cone_0,51,0.20800000000000002,2.8203319200756516
cone_0,52,0.21200000000000002,2.8193859545908206
cone_0,53,0.216,2.8184399891059897
cone_0,54,0.22,2.8174940236211587
cone_0,55,0.224,2.816548058136328
cone_0,56,0.228,2.815602092651497
cone_0,57,0.232,2.8146561271666655
cone_0,58,0.23600000000000002,2.8137101616818345
cone_0,59,0.24000000000000002,2.8127641961970036
cone_0,60,0.244,2.8118182307121726
cone_0,61,0.248,2.8108722652273417
cone_0,62,0.252,2.8099262997425107
cone_0,63,0.256,2.80898033425768
cone_0,64,0.26,2.808034368772849
cone_0,65,0.264,2.807088403288018
cone_0,66,0.268,2.806142437803187
cone_0,67,0.272,2.805196472318356
cone_0,68,0.276,2.804250506833525
cone_0,69,0.28,2.803304541348694
cone_0,70,0.28400000000000003,2.8023585758638627
cone_0,71,0.28800000000000003,2.8014126103790318
cone_0,72,0.29200000000000004,2.800466644894201
cone_0,73,0.296,2.79952067940937
cone_0,74,0.3,2.798574713924539
cone_0,75,0.304,2.797628748439708
cone_0,76,0.308,2.796682782954877
cone_0,77,0.312,2.795736817470046
cone_0,78,0.316,2.794790851985215
cone_0,79,0.32,2.793844886500384
cone_0,80,0.324,2.7928989210155533
cone_0,81,0.328,2.7919529555307223
cone_0,82,0.332,2.7910069900458914
cone_0,83,0.336,2.79006102456106
cone_0,84,0.34,2.789115059076229
cone_0,85,0.34400000000000003,2.788169093591398
cone_0,86,0.34800000000000003,2.787223128106567
cone_0,87,0.35200000000000004,2.786277162621736
cone_0,88,0.356,2.7853311971369052
cone_0,89,0.36,2.7843852316520743
cone_0,90,0.364,2.7834392661672434
cone_0,91,0.368,2.7824933006824124
cone_0,92,0.372,2.7815473351975815
cone_0,93,0.376,2.7806013697127505
cone_0,94,0.38,2.7796554042279196
cone_0,95,0.384,2.7787094387430886
cone_0,96,0.388,2.7777634732582572
cone_0,97,0.392,2.7768175077734263
cone_0,98,0.396,2.7758715422885953
cone_0,99,0.4,2.7749255768037644
cone_0,100,0.404,2.7739796113189334
cone_0,101,0.40800000000000003,2.7730336458341025
cone_0,102,0.41200000000000003,2.7720876803492716
cone_0,103,0.41600000000000004,2.7711417148644406
cone_0,104,0.42000000000000004,2.7701957493796097
cone_0,105,0.424,2.7692497838947787
cone_0,106,0.428,2.7683038184099478
cone_0,107,0.432,2.767357852925117
cone_0,108,0.436,2.766411887440286
cone_0,109,0.44,2.7654659219554545
cone_0,110,0.444,2.7645199564706235
cone_0,111,0.448,2.7635739909857926
cone_0,112,0.452,2.7626280255009616
cone_0,113,0.456,2.7616820600161307
cone_0,114,0.46,2.7607360945312998
cone_0,115,0.464,2.759790129046469
cone_0,116,0.468,2.758844163561638
cone_0,117,0.47200000000000003,2.757898198076807
cone_0,118,0.47600000000000003,2.756952232591976
