Height,width_Predicted
0.004,2.9317757206415833
0.008,2.9308404696692505
0.012,2.929905218696918
0.016,2.9289699677245853
0.02,2.928034716752253
0.024,2.92709946577992
0.028,2.9261642148075877
0.032,2.9252289638352553
0.036000000000000004,2.9242937128629225
0.04000000000000001,2.92335846189059
0.044,2.9224232109182573
0.048,2.921487959945925
0.052000000000000005,2.9205527089735925
0.05600000000000001,2.9196174580012597
0.06,2.9186822070289273
0.064,2.9177469560565945
0.068,2.916811705084262
0.07200000000000001,2.9158764541119293
0.07600000000000001,2.914941203139597
0.08,2.9140059521672645
0.084,2.9130707011949317
0.08800000000000001,2.9121354502225993
0.092,2.9112001992502665
0.096,2.910264948277934
0.1,2.9093296973056018
0.10400000000000001,2.908394446333269
0.10800000000000001,2.9074591953609366
0.112,2.9065239443886037
0.116,2.9055886934162714
0.12000000000000001,2.9046534424439385
0.124,2.903718191471606
0.128,2.9027829404992738
0.132,2.901847689526941
0.136,2.9009124385546086
0.14,2.8999771875822757
0.14400000000000002,2.8990419366099434
0.14800000000000002,2.898106685637611
0.152,2.897171434665278
0.156,2.8962361836929458
0.16,2.895300932720613
0.164,2.8943656817482806
0.168,2.8934304307759477
0.17200000000000001,2.8924951798036154
0.17600000000000002,2.891559928831283
0.18,2.89062467785895
0.184,2.889689426886618
0.188,2.888754175914285
0.192,2.8878189249419526
0.196,2.8868836739696198
0.2,2.8859484229972874
0.20400000000000001,2.885013172024955
0.20800000000000002,2.884077921052622
0.21200000000000002,2.88314267008029
0.216,2.882207419107957
0.22,2.8812721681356246
0.224,2.880336917163292
0.228,2.8794016661909594
0.232,2.878466415218627
0.23600000000000002,2.877531164246294
0.24000000000000002,2.876595913273962
0.244,2.875660662301629
0.248,2.8747254113292966
0.252,2.873790160356964
0.256,2.8728549093846314
0.26,2.871919658412299
0.264,2.870984407439966
0.268,2.870049156467634
0.272,2.8691139054953014
0.276,2.8681786545229686
0.28,2.8672434035506362
0.28400000000000003,2.8663081525783034
0.28800000000000003,2.865372901605971
0.29200000000000004,2.864437650633638
0.296,2.863502399661306
0.3,2.8625671486889734
0.304,2.8616318977166406
0.308,2.8606966467443082
0.312,2.8597613957719754
0.316,2.858826144799643
0.32,2.85789089382731
0.324,2.856955642854978
0.328,2.8560203918826454
0.332,2.8550851409103126
0.336,2.8541498899379802
0.34,2.8532146389656474
0.34400000000000003,2.852279387993315
0.34800000000000003,2.8513441370209827
0.35200000000000004,2.85040888604865
0.356,2.8494736350763175
0.36,2.8485383841039846
0.364,2.8476031331316523
0.368,2.8466678821593194
0.372,2.845732631186987
0.376,2.8447973802146547
0.38,2.843862129242322
0.384,2.8429268782699895
0.388,2.8419916272976566
0.392,2.8410563763253243
0.396,2.840121125352992
0.4,2.839185874380659
0.404,2.8382506234083267
0.40800000000000003,2.837315372435994
0.41200000000000003,2.8363801214636615
0.41600000000000004,2.8354448704913287
0.42000000000000004,2.8345096195189963
0.424,2.833574368546664
0.428,2.832639117574331
0.432,2.8317038666019987
0.436,2.830768615629666
0.44,2.8298333646573335
0.444,2.828898113685001
0.448,2.8279628627126683
0.452,2.827027611740336
0.456,2.826092360768003
0.46,2.8251571097956707
0.464,2.824221858823338
0.468,2.8232866078510055
0.47200000000000003,2.822351356878673
0.47600000000000003,2.8214161059063403
0.48000000000000004,2.820480854934008
0.484,2.819545603961675
0.488,2.8186103529893427
0.492,2.8176751020170103
0.496,2.8167398510446775
0.5,2.815804600072345
0.504,2.8148693491000123
0.508,2.81393409812768
0.512,2.812998847155347
0.516,2.8120635961830147
0.52,2.8111283452106823
0.524,2.8101930942383495
0.528,2.809257843266017
0.532,2.8083225922936843
0.536,2.807387341321352
0.54,2.806452090349019
0.544,2.8055168393766867
0.548,2.8045815884043543
0.552,2.8036463374320215
0.556,2.802711086459689
0.56,2.8017758354873563
0.5640000000000001,2.800840584515024
0.5680000000000001,2.799905333542691
0.5720000000000001,2.7989700825703587
0.5760000000000001,2.7980348315980264
0.5800000000000001,2.7970995806256935
0.584,2.796164329653361
0.588,2.7952290786810283
0.592,2.794293827708696
0.596,2.7933585767363636
0.6,2.7924233257640307
0.604,2.7914880747916984
0.608,2.7905528238193655
0.612,2.789617572847033
0.616,2.7886823218747008
0.62,2.787747070902368
0.624,2.7868118199300356
0.628,2.7858765689577027
0.632,2.7849413179853704
0.636,2.7840060670130375
0.64,2.783070816040705
0.644,2.782135565068373
0.648,2.78120031409604
0.652,2.7802650631237076
0.656,2.7793298121513748
0.66,2.7783945611790424
0.664,2.7774593102067096
0.668,2.776524059234377
0.672,2.775588808262045
0.676,2.774653557289712
0.68,2.7737183063173796
0.684,2.7727830553450468
0.6880000000000001,2.7718478043727144
0.6920000000000001,2.7709125534003816
0.6960000000000001,2.769977302428049
0.7000000000000001,2.769042051455717
0.7040000000000001,2.768106800483384
0.708,2.7671715495110516
0.712,2.766236298538719
0.716,2.7653010475663864
0.72,2.764365796594054
0.724,2.763430545621721
0.728,2.762495294649389
0.732,2.761560043677056
0.736,2.7606247927047236
0.74,2.7596895417323912
0.744,2.7587542907600584
0.748,2.757819039787726
0.752,2.756883788815393
0.756,2.755948537843061
0.76,2.755013286870728
0.764,2.7540780358983956
0.768,2.7531427849260632
0.772,2.7522075339537304
0.776,2.751272282981398
0.78,2.750337032009065
0.784,2.749401781036733
0.788,2.7484665300644
0.792,2.7475312790920676
0.796,2.7465960281197352
0.8,2.7456607771474024
0.804,2.74472552617507
0.808,2.743790275202737
0.812,2.742855024230405
0.8160000000000001,2.7419197732580725
