image_name,cluster_label,width,height,center
MM_final_0029.tif,2,725.0,528.0,"[1745.5, 4894.0]"
MM_final_0030.tif,1,588.0,720.0,"[305.0, 2334.0]"
MM_final_0030.tif,0,709.0,704.0,"[3319.5, 2376.0]"
MM_final_0030.tif,2,726.0,528.0,"[1745.0, 4894.0]"
MM_final_0031.tif,1,590.0,720.0,"[305.0, 2333.0]"
MM_final_0031.tif,0,710.0,704.0,"[3319.0, 2376.0]"
MM_final_0031.tif,2,726.0,529.0,"[1745.0, 4893.5]"
MM_final_0032.tif,1,589.0,719.0,"[305.5, 2333.5]"
MM_final_0032.tif,0,709.0,704.0,"[3318.5, 2376.0]"
MM_final_0032.tif,2,726.0,528.0,"[1745.0, 4894.0]"
MM_final_0033.tif,0,707.0,703.0,"[3318.5, 2375.5]"
MM_final_0033.tif,1,589.0,719.0,"[305.5, 2333.5]"
MM_final_0033.tif,2,726.0,527.0,"[1745.0, 4894.5]"
MM_final_0034.tif,0,706.0,701.0,"[3318.0, 2374.5]"
MM_final_0034.tif,1,589.0,718.0,"[305.5, 2333.0]"
MM_final_0034.tif,2,727.0,525.0,"[1745.5, 4895.5]"
MM_final_0035.tif,0,710.0,702.0,"[3318.0, 2373.0]"
MM_final_0035.tif,1,589.0,718.0,"[305.5, 2333.0]"
MM_final_0035.tif,2,727.0,535.0,"[1745.5, 4901.5]"
MM_final_0036.tif,1,589.0,718.0,"[305.5, 2332.0]"
MM_final_0036.tif,0,707.0,699.0,"[3317.5, 2373.5]"
MM_final_0036.tif,2,728.0,524.0,"[1746.0, 4896.0]"
MM_final_0037.tif,0,707.0,698.0,"[3317.5, 2374.0]"
MM_final_0037.tif,1,588.0,716.0,"[304.0, 2333.0]"
MM_final_0037.tif,2,728.0,524.0,"[1746.0, 4896.0]"
MM_final_0038.tif,0,708.0,698.0,"[3318.0, 2374.0]"
MM_final_0038.tif,1,587.0,715.0,"[304.5, 2332.5]"
MM_final_0038.tif,2,728.0,524.0,"[1746.0, 4896.0]"
MM_final_0039.tif,1,589.0,720.0,"[304.5, 2333.0]"
MM_final_0039.tif,0,705.0,696.0,"[3317.5, 2374.0]"
MM_final_0039.tif,2,728.0,524.0,"[1747.0, 4896.0]"
MM_final_0040.tif,1,587.0,721.0,"[304.5, 2332.5]"
MM_final_0040.tif,0,710.0,701.0,"[3319.0, 2374.5]"
MM_final_0040.tif,2,729.0,524.0,"[1747.5, 4896.0]"
MM_final_0041.tif,1,587.0,719.0,"[303.5, 2332.5]"
MM_final_0041.tif,0,707.0,700.0,"[3319.5, 2375.0]"
MM_final_0041.tif,2,729.0,525.0,"[1747.5, 4896.5]"
MM_final_0042.tif,1,584.0,716.0,"[303.0, 2332.0]"
MM_final_0042.tif,0,706.0,701.0,"[3321.0, 2375.5]"
MM_final_0042.tif,2,728.0,526.0,"[1747.0, 4896.0]"
MM_final_0043.tif,1,587.0,718.0,"[303.5, 2332.0]"
MM_final_0043.tif,0,707.0,701.0,"[3319.5, 2374.5]"
MM_final_0043.tif,2,726.0,526.0,"[1748.0, 4896.0]"
MM_final_0044.tif,0,704.0,701.0,"[3320.0, 2375.5]"
MM_final_0044.tif,1,587.0,717.0,"[303.5, 2332.5]"
MM_final_0044.tif,2,724.0,526.0,"[1749.0, 4896.0]"
MM_final_0045.tif,1,587.0,718.0,"[303.5, 2332.0]"
MM_final_0045.tif,0,703.0,701.0,"[3319.5, 2374.5]"
MM_final_0045.tif,2,724.0,536.0,"[1749.0, 4901.0]"
MM_final_0046.tif,1,586.0,719.0,"[303.0, 2332.5]"
MM_final_0046.tif,0,707.0,700.0,"[3317.5, 2375.0]"
MM_final_0046.tif,2,725.0,535.0,"[1749.5, 4901.5]"
